Year,Age,Sex,Immigrations,Emigrations,Migration_balance,MaleBirths,FemaleBirths,TotalBirths,Deaths,Population,GDP_per_capita,Health_expenditure_pct_GDP,Unemployment
1956,69,Male,0.0,0.0,0.0,0.0,0.0,0.0,10576.0,0.0,,,
1956,70,Female,0.0,0.0,0.0,0.0,0.0,0.0,11144.0,0.0,,,
1956,70,Male,0.0,0.0,0.0,0.0,0.0,0.0,10964.0,0.0,,,
1956,71,Female,0.0,0.0,0.0,0.0,0.0,0.0,11429.0,0.0,,,
1956,71,Male,0.0,0.0,0.0,0.0,0.0,0.0,11361.0,0.0,,,
1956,72,Female,0.0,0.0,0.0,0.0,0.0,0.0,12085.0,0.0,,,
1956,72,Male,0.0,0.0,0.0,0.0,0.0,0.0,11873.0,0.0,,,
1956,73,Female,0.0,0.0,0.0,0.0,0.0,0.0,12588.0,0.0,,,
1956,73,Male,0.0,0.0,0.0,0.0,0.0,0.0,11933.0,0.0,,,
1956,74,Female,0.0,0.0,0.0,0.0,0.0,0.0,13193.0,0.0,,,
1956,74,Male,0.0,0.0,0.0,0.0,0.0,0.0,12356.0,0.0,,,
1956,75,Female,0.0,0.0,0.0,0.0,0.0,0.0,13339.0,0.0,,,
1956,75,Male,0.0,0.0,0.0,0.0,0.0,0.0,12390.0,0.0,,,
1956,76,Female,0.0,0.0,0.0,0.0,0.0,0.0,13937.0,0.0,,,
1956,76,Male,0.0,0.0,0.0,0.0,0.0,0.0,13042.0,0.0,,,
1956,77,Female,0.0,0.0,0.0,0.0,0.0,0.0,14610.0,0.0,,,
1956,77,Male,0.0,0.0,0.0,0.0,0.0,0.0,13323.0,0.0,,,
1956,78,Female,0.0,0.0,0.0,0.0,0.0,0.0,14512.0,0.0,,,
1956,78,Male,0.0,0.0,0.0,0.0,0.0,0.0,13049.0,0.0,,,
1956,79,Female,0.0,0.0,0.0,0.0,0.0,0.0,14516.0,0.0,,,
1956,79,Male,0.0,0.0,0.0,0.0,0.0,0.0,12559.0,0.0,,,
1956,80,Female,0.0,0.0,0.0,0.0,0.0,0.0,13882.0,0.0,,,
1956,80,Male,0.0,0.0,0.0,0.0,0.0,0.0,12063.0,0.0,,,
1956,81,Female,0.0,0.0,0.0,0.0,0.0,0.0,12922.0,0.0,,,
1956,81,Male,0.0,0.0,0.0,0.0,0.0,0.0,11103.0,0.0,,,
1956,82,Female,0.0,0.0,0.0,0.0,0.0,0.0,11841.0,0.0,,,
1956,82,Male,0.0,0.0,0.0,0.0,0.0,0.0,9986.0,0.0,,,
1956,83,Female,0.0,0.0,0.0,0.0,0.0,0.0,10667.0,0.0,,,
1956,83,Male,0.0,0.0,0.0,0.0,0.0,0.0,8758.0,0.0,,,
1956,84,Female,0.0,0.0,0.0,0.0,0.0,0.0,8614.0,0.0,,,
1956,84,Male,0.0,0.0,0.0,0.0,0.0,0.0,6963.0,0.0,,,
1956,85,Female,0.0,0.0,0.0,0.0,0.0,0.0,7330.0,0.0,,,
1956,85,Male,0.0,0.0,0.0,0.0,0.0,0.0,5965.0,0.0,,,
1956,86,Female,0.0,0.0,0.0,0.0,0.0,0.0,6920.0,0.0,,,
1956,86,Male,0.0,0.0,0.0,0.0,0.0,0.0,5394.0,0.0,,,
1956,87,Female,0.0,0.0,0.0,0.0,0.0,0.0,5402.0,0.0,,,
1956,87,Male,0.0,0.0,0.0,0.0,0.0,0.0,4176.0,0.0,,,
1956,88,Female,0.0,0.0,0.0,0.0,0.0,0.0,4345.0,0.0,,,
1956,88,Male,0.0,0.0,0.0,0.0,0.0,0.0,3133.0,0.0,,,
1956,89,Female,0.0,0.0,0.0,0.0,0.0,0.0,3460.0,0.0,,,
1956,89,Male,0.0,0.0,0.0,0.0,0.0,0.0,2449.0,0.0,,,
1956,90,Female,0.0,0.0,0.0,0.0,0.0,0.0,2691.0,0.0,,,
1956,90,Male,0.0,0.0,0.0,0.0,0.0,0.0,1799.0,0.0,,,
1956,91,Female,0.0,0.0,0.0,0.0,0.0,0.0,1917.0,0.0,,,
1956,91,Male,0.0,0.0,0.0,0.0,0.0,0.0,1269.0,0.0,,,
1956,92,Female,0.0,0.0,0.0,0.0,0.0,0.0,1471.0,0.0,,,
1956,92,Male,0.0,0.0,0.0,0.0,0.0,0.0,892.0,0.0,,,
1956,93,Female,0.0,0.0,0.0,0.0,0.0,0.0,965.0,0.0,,,
1956,93,Male,0.0,0.0,0.0,0.0,0.0,0.0,561.0,0.0,,,
1956,94,Female,0.0,0.0,0.0,0.0,0.0,0.0,648.0,0.0,,,
1956,94,Male,0.0,0.0,0.0,0.0,0.0,0.0,341.0,0.0,,,
1956,95,Female,0.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,,,
1956,95,Male,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,,,
1956,96,Female,0.0,0.0,0.0,0.0,0.0,0.0,293.0,0.0,,,
1956,96,Male,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,,,
1956,97,Female,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,,,
1956,97,Male,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,,,
1956,98,Female,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,,,
1956,98,Male,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,,,
1956,99,Female,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,,,
1956,99,Male,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,,,
1956,100,Female,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,,,
1956,100,Male,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,,,
1957,1,Female,0.0,0.0,0.0,0.0,0.0,0.0,1423.0,0.0,,,
1957,1,Male,0.0,0.0,0.0,0.0,0.0,0.0,1768.0,0.0,,,
1957,2,Female,0.0,0.0,0.0,0.0,0.0,0.0,684.0,0.0,,,
